source,target,e_type
"CMG@Ventures II, LLC",Visto Corporation,OWNS
"CMG Information Services, Inc.","CMG@Ventures III, LLC",OWNS
"CMG Information Services, Inc.","@Ventures III, L.P.",OWNS
"CMG Information Services, Inc.",SalesLink Corporation,OWNS
"CMG Information Services, Inc.",InSolutions Incorporated,OWNS
"CMG Information Services, Inc.","On-Demand Solutions, Inc.",OWNS
SalesLink Corporation,Pacific Direct Marketing Corporation,OWNS
"CMG Information Services, Inc.",CMG Direct Corporation,OWNS
"CMG Information Services, Inc.",NaviNet,OWNS
Covol Technologies Inc.,Inability to implement applications profitably,FACES_RISK
Covol Technologies Inc.,Inability to utilize tax benefits,FACES_RISK
Covol Technologies Inc.,Feedstock supply risk,FACES_RISK
Covol Technologies Inc.,Production quality risk,FACES_RISK
Covol Technologies Inc.,Product marketing risk,FACES_RISK
"Lynton Group, Inc.","Ramapo Helicopters, Inc.",OWNS
"Lynton Group, Inc.","Lynton Aircraft Maintenance Services, Inc.",OWNS
"Lynton Group, Inc.","Rockland Aviation, Inc.",OWNS
"Lynton Group, Inc.","Lynton Aviation Charter, Inc.",OWNS
"Lynton Group, Inc.","LynStar Holdings, Inc.",OWNS
"LynStar Holdings, Inc.","LynStar Aviation, Inc.",OWNS
"Lynton Group, Inc.",Lynton Group Limited,OWNS
Lynton Group Limited,Lynton Aviation Limited,OWNS
"Lynton Group, Inc.",European Helicopters Limited,OWNS
Lynton Group Limited,Magec Aviation Limited,OWNS
Lynton Group Limited,Air Hanson Limited,OWNS
"Lynton Group, Inc.","Lynton Jet Centre, Inc.",OWNS
"Lynton Group, Inc.","Lynton Aviation, Inc.",OWNS
"Lynton Group, Inc.","Lynton Aviation Services, Inc.",OWNS
"Lynton Group, Inc.",Dollar Air Services Limited,OWNS
Dollar Air Services Limited,Black Isle Helicopters Limited,OWNS
"Lynton Group, Inc.",Black Isle Helicopters Limited,OWNS
"Lynton Jet Centre, Inc.","Lynton Properties, Inc.",OWNS
"Lynton Group, Inc.",PLM Dollar Group Limited,OWNS
Air Hanson Limited,Air Hanson Engineering Limited,OWNS
Air Hanson Limited,Air Hanson Aircraft Sales Limited,OWNS
European Helicopters Limited,Loss of CAA/Manufacturer Certificates/Licenses for EHL/Air Hanson Engineering,FACES_RISK
Air Hanson Engineering Limited,Loss of CAA/Manufacturer Certificates/Licenses for EHL/Air Hanson Engineering,FACES_RISK
Magec Aviation Limited,Loss of CAA/Manufacturer Certificates/Licenses for Magec,FACES_RISK
"General Automation, Inc.",General Automation LLC,OWNS
"General Automation, Inc.",General Automation Canada Subsidiary,OWNS
"General Automation, Inc.",General Automation Australia Subsidiary,OWNS
"General Automation, Inc.",General Automation UK Subsidiary,OWNS
"General Automation, Inc.",Going Concern Qualification,FACES_RISK
"General Automation, Inc.",Recent Operating Losses,FACES_RISK
"General Automation, Inc.",Deficit Net Worth,FACES_RISK
"General Automation, Inc.",Working Capital Deficiency,FACES_RISK
"General Automation, Inc.",Cash Flow Constraints,FACES_RISK
"General Automation, Inc.",Obligations to TMI in Default,FACES_RISK
"General Automation, Inc.",Obligations to Boundless in Default,FACES_RISK
"General Automation, Inc.",Limited Market for the Company's Stock,FACES_RISK
"General Automation, Inc.",Competition Risk,FACES_RISK
"General Automation, Inc.",Wang,COMPETES_WITH
"General Automation, Inc.",AT&T,COMPETES_WITH
"General Automation, Inc.",IBM,COMPETES_WITH
"General Automation, Inc.",Data General Corporation,COMPETES_WITH
"General Automation, Inc.",Digital Equipment Corporation,COMPETES_WITH
"General Automation, Inc.",Hewlett Packard Company,COMPETES_WITH
"General Automation, Inc.",Ardent,COMPETES_WITH
"General Automation, Inc.",Pick Systems,COMPETES_WITH
Boundless Technologies,General Automation LLC,OWNS
RCM TECHNOLOGIES INC.,The Consortium,OWNS
RCM TECHNOLOGIES INC.,"The Consortium of Maryland, Inc.",OWNS
RCM TECHNOLOGIES INC.,"Performance Staffing, Inc.",OWNS
RCM TECHNOLOGIES INC.,"Programming Alternatives of Minnesota, Inc.",OWNS
"Biomune Systems, Inc.","Optim Nutrition, Inc.",OWNS
"Biomune Systems, Inc.","Rockwood Companies, LLC",OWNS
"Biomune Systems, Inc.","Frank A. Eldredge, Ph.D.",EMPLOYS
"Biomune Systems, Inc.","David O. Lucas, Ph.D.",EMPLOYS
"Biomune Systems, Inc.","Craig D. Moffat, M.D.",EMPLOYS
"Biomune Systems, Inc.",Limited access to funding for future research and development,FACES_RISK
"Biomune Systems, Inc.",Highly competitive market for nutrition supplements,FACES_RISK
"Biomune Systems, Inc.",Limited financial resources,FACES_RISK
"Biomune Systems, Inc.",Risk of reduced ownership interest in Rockwood due to unfulfilled loan covenants,FACES_RISK
"Biomune Systems, Inc.",Inability to obtain additional financing,FACES_RISK
"Biomune Systems, Inc.",Inability to increase product sales,FACES_RISK
Mobil Corp.,Mobil (German Operating Company),OWNS
Exxon Corp.,German Subsidiaries of Exxon Corp.,OWNS
Royal Dutch Group,German Subsidiaries of Royal Dutch Group,OWNS
NORTH EUROPEAN OIL ROYALTY TRUST,John H. Van Kirk,EMPLOYS
NORTH EUROPEAN OIL ROYALTY TRUST,John R. Van Kirk,EMPLOYS
NORTH EUROPEAN OIL ROYALTY TRUST,Termination of Royalty Rights,FACES_RISK
NORTH EUROPEAN OIL ROYALTY TRUST,Speculative Business,FACES_RISK
NORTH EUROPEAN OIL ROYALTY TRUST,Uncertainty of Future Income,FACES_RISK
NORTH EUROPEAN OIL ROYALTY TRUST,Fluctuations in Gas and Oil Prices/Supplies,FACES_RISK
NORTH EUROPEAN OIL ROYALTY TRUST,Environmental Regulations Impact,FACES_RISK
NORTH EUROPEAN OIL ROYALTY TRUST,Unforeseeable Economic and Political Factors,FACES_RISK
NORTH EUROPEAN OIL ROYALTY TRUST,Currency Exchange Rate Fluctuations,FACES_RISK
NORTH EUROPEAN OIL ROYALTY TRUST,Y2K Computer Compliance Issues,FACES_RISK
Celsion Corporation,Dr. Gerald Wolf,EMPLOYS
Celsion Corporation,Difficulty delivering controlled heat without burning healthy tissue,FACES_RISK
Celsion Corporation,Need for new FDA indication for breast tumor ablation,FACES_RISK
Pentech International Inc.,Sawdust Pencil Co.,OWNS
Pentech International Inc.,Product Shortages,FACES_RISK
Pentech International Inc.,Dumping Duties,FACES_RISK
Pentech International Inc.,Increased Raw Material Costs,FACES_RISK
Pentech International Inc.,Increased Dumping Duties,FACES_RISK
Pentech International Inc.,Minimum Royalty Payments Leading to Losses,FACES_RISK
Pentech International Inc.,Loss of Major Customer,FACES_RISK
Pentech International Inc.,Bad Debts from Customers,FACES_RISK
Pentech International Inc.,Failure to Register Trademarks,FACES_RISK
Pentech International Inc.,Intense Competition,FACES_RISK
Pentech International Inc.,Bic Pen Company,COMPETES_WITH
Pentech International Inc.,Papermate,COMPETES_WITH
Pentech International Inc.,"RoseArt Industries, Inc.",COMPETES_WITH
Pentech International Inc.,Newell,COMPETES_WITH
